epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,24054.7,1.22558,0.85084,1.15455,0.70928,0.84607,0.78965,0.52942,1.23686,0.72829,1.17263,0.005875,0.005875,0.005875
127,24245.1,1.22832,0.85112,1.15458,0.70772,0.8482,0.78953,0.52942,1.23646,0.72813,1.17239,0.005842,0.005842,0.005842
128,24435.5,1.22646,0.84544,1.14876,0.70908,0.84798,0.78962,0.52942,1.23639,0.72802,1.17214,0.005809,0.005809,0.005809
129,24625.8,1.21648,0.84988,1.15021,0.70953,0.84957,0.78985,0.52953,1.23614,0.72757,1.1719,0.005776,0.005776,0.005776
130,24816.1,1.22308,0.84928,1.15398,0.71119,0.84702,0.7898,0.5294,1.23599,0.72735,1.17165,0.005743,0.005743,0.005743
131,25006.2,1.2256,0.84355,1.15092,0.70976,0.84795,0.78979,0.52969,1.23587,0.72685,1.17122,0.00571,0.00571,0.00571
132,25196.8,1.22415,0.84244,1.1476,0.71037,0.84647,0.78972,0.52979,1.23587,0.72656,1.17125,0.005677,0.005677,0.005677
133,25387.4,1.21941,0.8466,1.14909,0.71114,0.84365,0.78962,0.53013,1.23542,0.72626,1.17063,0.005644,0.005644,0.005644
134,25577.7,1.21449,0.83881,1.14426,0.71103,0.84378,0.78959,0.52969,1.23508,0.72572,1.17021,0.005611,0.005611,0.005611
135,25767.8,1.22252,0.83895,1.14516,0.71034,0.84401,0.78946,0.52966,1.23491,0.72529,1.16988,0.005578,0.005578,0.005578
136,25957.9,1.21718,0.83842,1.14601,0.70939,0.84556,0.78938,0.52978,1.23465,0.72525,1.1694,0.005545,0.005545,0.005545
137,26148,1.2165,0.84026,1.14853,0.70861,0.84681,0.78935,0.52983,1.23411,0.72505,1.16918,0.005512,0.005512,0.005512
138,26338.1,1.21557,0.84375,1.14756,0.70921,0.84662,0.78931,0.52999,1.23402,0.7247,1.16909,0.005479,0.005479,0.005479
139,26528.2,1.21128,0.8387,1.14401,0.70939,0.84678,0.7893,0.53035,1.23371,0.72413,1.16878,0.005446,0.005446,0.005446
140,26718.9,1.21036,0.8329,1.14245,0.70738,0.8486,0.78939,0.53029,1.23372,0.72385,1.16849,0.005413,0.005413,0.005413
141,26909,1.21428,0.83459,1.14372,0.7078,0.84776,0.78936,0.53044,1.23384,0.72338,1.16831,0.00538,0.00538,0.00538
142,27099.5,1.21369,0.83659,1.14683,0.708,0.84857,0.78931,0.53016,1.23392,0.72324,1.16822,0.005347,0.005347,0.005347
143,27289.7,1.21057,0.83292,1.14332,0.70846,0.85071,0.78933,0.53044,1.23434,0.72261,1.16833,0.005314,0.005314,0.005314
144,27480,1.2102,0.8304,1.14199,0.70891,0.85081,0.78953,0.53019,1.23432,0.72235,1.1681,0.005281,0.005281,0.005281
145,27670.1,1.20937,0.82892,1.13864,0.70941,0.85009,0.78944,0.52991,1.23419,0.72232,1.16785,0.005248,0.005248,0.005248
146,27860,1.20685,0.82713,1.14122,0.70992,0.85032,0.78956,0.53031,1.23438,0.72228,1.16798,0.005215,0.005215,0.005215
147,28050.1,1.20897,0.8321,1.1421,0.71009,0.85058,0.78967,0.53048,1.23449,0.72209,1.16796,0.005182,0.005182,0.005182
148,28240.5,1.20209,0.8241,1.13597,0.71064,0.84979,0.78979,0.53065,1.23485,0.72199,1.1681,0.005149,0.005149,0.005149
149,28430.8,1.20069,0.81955,1.13919,0.71112,0.85048,0.78979,0.53084,1.23472,0.72159,1.16802,0.005116,0.005116,0.005116
150,28622.2,1.20095,0.81914,1.13801,0.71065,0.85031,0.78979,0.53098,1.23473,0.72113,1.16814,0.005083,0.005083,0.005083
151,28812.8,1.19746,0.81608,1.1361,0.71168,0.84929,0.78973,0.53104,1.23496,0.7207,1.16813,0.00505,0.00505,0.00505
152,29003.8,1.20267,0.82407,1.141,0.7114,0.84886,0.78961,0.53089,1.23527,0.72063,1.16825,0.005017,0.005017,0.005017
153,29193.8,1.19826,0.81743,1.13722,0.71169,0.84952,0.78942,0.53093,1.23535,0.72058,1.16838,0.004984,0.004984,0.004984
154,29383.9,1.1992,0.81625,1.13633,0.7114,0.84765,0.78939,0.53085,1.23536,0.72057,1.16824,0.004951,0.004951,0.004951
155,29574,1.19481,0.81445,1.13478,0.71144,0.84861,0.78941,0.53084,1.23515,0.72031,1.16807,0.004918,0.004918,0.004918
156,29763.9,1.19189,0.81445,1.13178,0.71097,0.8486,0.78923,0.53063,1.23488,0.71999,1.1679,0.004885,0.004885,0.004885
157,29953.9,1.19112,0.81285,1.13528,0.71021,0.84956,0.78884,0.53046,1.23468,0.71967,1.16783,0.004852,0.004852,0.004852
158,30143.9,1.18731,0.81082,1.13347,0.71134,0.84841,0.78888,0.53082,1.23469,0.71966,1.16792,0.004819,0.004819,0.004819
159,30334.1,1.19325,0.80892,1.13524,0.7108,0.84807,0.78856,0.53094,1.23477,0.71972,1.16804,0.004786,0.004786,0.004786
160,30524.2,1.19547,0.81569,1.13379,0.7114,0.84798,0.78897,0.53126,1.23461,0.71953,1.1679,0.004753,0.004753,0.004753
161,30714.5,1.18616,0.80865,1.12959,0.71229,0.84726,0.78884,0.53105,1.23448,0.71946,1.16764,0.00472,0.00472,0.00472
162,30904.7,1.18705,0.80466,1.13081,0.71187,0.84688,0.78873,0.53146,1.23434,0.71975,1.1673,0.004687,0.004687,0.004687
163,31095.4,1.18458,0.80784,1.12864,0.71134,0.84691,0.78853,0.53105,1.23384,0.71931,1.16692,0.004654,0.004654,0.004654
164,31285.6,1.18542,0.80489,1.12922,0.71154,0.8469,0.78843,0.53098,1.23372,0.71917,1.16661,0.004621,0.004621,0.004621
165,31475.6,1.18118,0.80112,1.13055,0.71178,0.84683,0.78851,0.53128,1.23398,0.71912,1.16696,0.004588,0.004588,0.004588
166,31665.6,1.18281,0.80202,1.12764,0.71169,0.84638,0.7885,0.53112,1.23394,0.71905,1.16687,0.004555,0.004555,0.004555
167,31855.6,1.18055,0.8017,1.1269,0.71211,0.84637,0.78839,0.53133,1.23372,0.71864,1.16646,0.004522,0.004522,0.004522
168,32045.6,1.17984,0.79749,1.12716,0.71307,0.8454,0.78845,0.53098,1.23384,0.71863,1.1666,0.004489,0.004489,0.004489
169,32235.5,1.18263,0.80238,1.12879,0.71313,0.84501,0.78793,0.53142,1.23365,0.7182,1.16644,0.004456,0.004456,0.004456
170,32425.6,1.18063,0.80104,1.12723,0.71278,0.84683,0.78805,0.5317,1.23378,0.71803,1.16663,0.004423,0.004423,0.004423
171,32615.8,1.17755,0.79741,1.12457,0.7137,0.84646,0.78842,0.53204,1.23421,0.71794,1.1669,0.00439,0.00439,0.00439
172,32806.2,1.17461,0.7969,1.1264,0.71385,0.84648,0.78873,0.53211,1.2341,0.71734,1.16661,0.004357,0.004357,0.004357
173,32997.4,1.17534,0.79383,1.12328,0.71408,0.8462,0.78887,0.53248,1.23415,0.71702,1.16649,0.004324,0.004324,0.004324
174,33187.6,1.17829,0.79094,1.12284,0.71367,0.84797,0.78849,0.5326,1.23422,0.71684,1.16639,0.004291,0.004291,0.004291
175,33377.7,1.17056,0.7959,1.12186,0.71347,0.84847,0.7887,0.53257,1.23414,0.71659,1.16624,0.004258,0.004258,0.004258
176,33567.7,1.17259,0.79107,1.12052,0.71242,0.84937,0.78863,0.53254,1.23424,0.71632,1.16613,0.004225,0.004225,0.004225
177,33757.7,1.16889,0.78273,1.12065,0.71205,0.84926,0.78858,0.53241,1.23428,0.71573,1.16606,0.004192,0.004192,0.004192
178,33947.8,1.16806,0.78531,1.12164,0.71206,0.85013,0.78871,0.53215,1.23418,0.71566,1.16592,0.004159,0.004159,0.004159
179,34137.9,1.16413,0.7815,1.1193,0.71221,0.84991,0.78844,0.532,1.23447,0.71544,1.166,0.004126,0.004126,0.004126
180,34327.8,1.1668,0.78242,1.11809,0.71182,0.85055,0.78829,0.53174,1.23434,0.71518,1.16602,0.004093,0.004093,0.004093
181,34517.7,1.16149,0.77947,1.11899,0.71144,0.85125,0.78833,0.53188,1.23432,0.71537,1.16591,0.00406,0.00406,0.00406
